u_number,first_name,last_name,email,street_address,pin_number,gpa,uldp,class_level,registration_status,major,hours
81423404,Boot,Clacson,bclacson0@usf.edu,8 Grim Plaza,8389,0.29,FALSE,junior,FALSE,cpe,16
61657024,Denise,Tille,dtille1@usf.edu,42938 Kenwood Place,5905,0.58,FALSE,junior,FALSE,cys,103
80484210,Philippe,Domokos,pdomokos2@usf.edu,0646 Green Ridge Point,1020,1.56,FALSE,freshmen,TRUE,other,100
38254930,Johnette,Goslin,jgoslin3@usf.edu,783 Nevada Alley,9182,3.13,FALSE,senior,TRUE,other,96
78989305,Cassie,Parram,cparram4@usf.edu,9 Scofield Circle,9102,2.86,TRUE,junior,FALSE,it,114
14271141,Valaria,Noades,vnoades5@usf.edu,9 Lindbergh Way,3105,1.63,FALSE,junior,TRUE,cs,37
43186425,Evangelin,Bassilashvili,ebassilashvili6@usf.edu,9 Brown Parkway,6211,2.68,TRUE,freshmen,FALSE,cys,64
49121773,Orly,Korfmann,okorfmann7@usf.edu,54 Eagle Crest Point,2709,3.5,FALSE,sophmore,FALSE,cpe,121
57435371,Leelah,Yerby,lyerby8@usf.edu,58 Bayside Terrace,4166,2.36,TRUE,junior,FALSE,other,124
77918533,Moe,Woodall,mwoodall9@usf.edu,87785 Blue Bill Park Circle,4468,1.56,TRUE,junior,TRUE,cys,120
75086577,Bartel,Mashro,bmashroa@usf.edu,1 Independence Circle,7695,3.04,FALSE,senior,FALSE,other,67
10413803,Emelyne,Demead,edemeadb@usf.edu,211 Talmadge Way,6475,2.42,TRUE,junior,FALSE,it,106
16041388,Alvy,Casaccio,acasaccioc@usf.edu,86766 Shasta Crossing,2593,3.61,FALSE,sophmore,FALSE,cys,13
20573151,Rubia,Osbourne,rosbourned@usf.edu,86219 Stang Center,6755,1.77,TRUE,senior,TRUE,cys,100
91257479,Germayne,Delos,gdelose@usf.edu,748 Canary Road,9530,2.21,TRUE,freshmen,FALSE,cpe,96
59601700,Guillema,Padberry,gpadberryf@usf.edu,90988 Main Drive,5935,1.42,FALSE,junior,FALSE,cs,102
64777978,Emmit,Casina,ecasinag@usf.edu,9 Springs Street,9219,2.66,TRUE,junior,FALSE,cys,57
80378748,Jerad,Evason,jevasonh@usf.edu,28 Anniversary Drive,3767,3.25,TRUE,junior,TRUE,other,94
58578548,Mabel,Donalson,mdonalsoni@usf.edu,2923 Huxley Street,3204,3.12,TRUE,senior,TRUE,cys,30
62223955,Kristi,Habishaw,khabishawj@usf.edu,39930 Commercial Road,7103,2.74,FALSE,senior,TRUE,cys,115
94799549,Carmina,Davidsen,cdavidsenk@usf.edu,9 Columbus Parkway,7407,3.87,TRUE,freshmen,FALSE,cpe,26
52440550,Nettle,Brightling,nbrightlingl@usf.edu,65 Ryan Street,7332,0.82,FALSE,senior,TRUE,cpe,127
